,f0,q1,q3,iqr,spectral_centroid,f0_standard_deviation,label
4455,227.39451331798645,201.74088950502764,227.39451331798645,25.653623812958813,1532.375705038276,44.26853287885814,female
4456,216.64422467318832,198.27510177438265,246.95405719607928,48.67895542169663,1348.2337326264053,37.657513412794536,female
4457,270.296050585408,237.1679952016928,307.5533855193843,70.38539031769147,1312.3316077028373,47.41102570612901,female
4458,175.7201482718041,172.3599635836994,178.6955271983718,6.335563614672395,1480.8230695940802,6.207201493639893,female
4459,200.80997810062226,190.41804342135148,208.85526660911424,18.437223187762754,1472.337413318981,19.7476107980418,female
4460,210.0564215135127,210.0564215135127,260.1187129259726,50.0622914124599,1612.022761335844,61.92196351919862,female
4461,212.33716649145734,189.3213161937526,234.43211035826653,45.11079416451392,1777.1814900910877,24.557204629999873,female
4462,159.7260395909584,154.66751207845843,165.76853496220332,11.10102288374489,1762.2324319039951,8.337248356804558,female
4463,241.7117582796388,228.7478259795188,241.7117582796388,12.963932300119978,1748.7425967703189,20.643770788141484,female
4464,215.87430402783863,198.27510177438265,229.74119028909763,31.466088514714983,1075.4146898493104,20.4649685011037,female
4465,211.90114518767584,178.43822457278117,236.47509918506637,58.0368746122852,1121.5540734290241,30.433901274881975,female
4466,206.49098844423267,181.8190699939266,227.75828324510303,45.939213251176426,890.9590490808797,30.252739347306328,female
4467,206.69059378395792,198.56225076933305,209.76268129749727,11.200430528164219,1368.5487307216533,12.03777103548815,female
